split,fold,metric,delta_name,left_run,right_run,left_mean_ic,right_mean_ic,delta_mean_ic
oos,0,blend,select2_minus_base,select2,base,0.0555333985944,0.0672881681941,-0.0117547695997
oos,0,blend,select_minus_base,select,base,0.0538715655874,0.0672881681941,-0.0134166026067
oos,0,blend,select_minus_select2,select,select2,0.0538715655874,0.0555333985944,-0.00166183300705
oos,0,h6,select2_minus_base,select2,base,0.0516221658001,0.0632664698096,-0.0116443040095
oos,0,h6,select_minus_base,select,base,0.0476815645211,0.0632664698096,-0.0155849052885
oos,0,h6,select_minus_select2,select,select2,0.0476815645211,0.0516221658001,-0.00394060127902
oos,0,h9,select2_minus_base,select2,base,0.0509403279747,0.0559966219011,-0.00505629392637
oos,0,h9,select_minus_base,select,base,0.0480189870078,0.0559966219011,-0.0079776348933
oos,0,h9,select_minus_select2,select,select2,0.0480189870078,0.0509403279747,-0.00292134096693
oos,1,blend,select2_minus_base,select2,base,0.0465800042621,0.0384380995045,0.00814190475763
oos,1,blend,select_minus_base,select,base,0.0367379802446,0.0384380995045,-0.00170011925985
oos,1,blend,select_minus_select2,select,select2,0.0367379802446,0.0465800042621,-0.00984202401748
oos,1,h6,select2_minus_base,select2,base,0.0221566962779,0.0295257536049,-0.00736905732705
oos,1,h6,select_minus_base,select,base,0.0478777296908,0.0295257536049,0.0183519760859
oos,1,h6,select_minus_select2,select,select2,0.0478777296908,0.0221566962779,0.0257210334129
oos,1,h9,select2_minus_base,select2,base,0.0605295585345,0.0360613578588,0.0244682006757
oos,1,h9,select_minus_base,select,base,0.00952905380522,0.0360613578588,-0.0265323040536
oos,1,h9,select_minus_select2,select,select2,0.00952905380522,0.0605295585345,-0.0510005047293
oos,2,blend,select2_minus_base,select2,base,0.0339886334132,0.04678406158,-0.0127954281668
oos,2,blend,select_minus_base,select,base,0.024406648114,0.04678406158,-0.0223774134661
oos,2,blend,select_minus_select2,select,select2,0.024406648114,0.0339886334132,-0.00958198529925
oos,2,h6,select2_minus_base,select2,base,0.0377107481121,0.0451040345206,-0.00739328640848
oos,2,h6,select_minus_base,select,base,0.0215274399847,0.0451040345206,-0.0235765945359
oos,2,h6,select_minus_select2,select,select2,0.0215274399847,0.0377107481121,-0.0161833081274
oos,2,h9,select2_minus_base,select2,base,0.0140348780371,0.0324582224132,-0.0184233443761
oos,2,h9,select_minus_base,select,base,0.0175774317597,0.0324582224132,-0.0148807906535
oos,2,h9,select_minus_select2,select,select2,0.0175774317597,0.0140348780371,0.00354255372265
oos,3,blend,select2_minus_base,select2,base,0.0277598084881,0.0369024847003,-0.00914267621218
oos,3,blend,select_minus_base,select,base,0.0423839545943,0.0369024847003,0.00548146989399
oos,3,blend,select_minus_select2,select,select2,0.0423839545943,0.0277598084881,0.0146241461062
oos,3,h6,select2_minus_base,select2,base,0.039839063867,0.0330499267356,0.00678913713141
oos,3,h6,select_minus_base,select,base,0.0372304335832,0.0330499267356,0.00418050684766
oos,3,h6,select_minus_select2,select,select2,0.0372304335832,0.039839063867,-0.00260863028374
oos,3,h9,select2_minus_base,select2,base,0.0103974942128,0.0322465407374,-0.0218490465246
oos,3,h9,select_minus_base,select,base,0.0339689131767,0.0322465407374,0.00172237243932
oos,3,h9,select_minus_select2,select,select2,0.0339689131767,0.0103974942128,0.0235714189639
oos,4,blend,select2_minus_base,select2,base,0.029445887538,0.0578220645124,-0.0283761769744
oos,4,blend,select_minus_base,select,base,0.0425258420857,0.0578220645124,-0.0152962224266
oos,4,blend,select_minus_select2,select,select2,0.0425258420857,0.029445887538,0.0130799545478
oos,4,h6,select2_minus_base,select2,base,0.0254729940784,0.0440507625635,-0.0185777684851
oos,4,h6,select_minus_base,select,base,0.0381653773613,0.0440507625635,-0.00588538520218
oos,4,h6,select_minus_select2,select,select2,0.0381653773613,0.0254729940784,0.0126923832829
oos,4,h9,select2_minus_base,select2,base,0.0185876860111,0.0478098708944,-0.0292221848833
oos,4,h9,select_minus_base,select,base,0.0318429937661,0.0478098708944,-0.0159668771283
oos,4,h9,select_minus_select2,select,select2,0.0318429937661,0.0185876860111,0.013255307755
oos,5,blend,select2_minus_base,select2,base,0.0869055354683,0.0667133720921,0.0201921633762
oos,5,blend,select_minus_base,select,base,0.0752586684635,0.0667133720921,0.00854529637135
oos,5,blend,select_minus_select2,select,select2,0.0752586684635,0.0869055354683,-0.0116468670048
