run,run_label,split,metric,n_folds,mean_fold_ic,median_fold_ic,min_fold_ic,max_fold_ic,std_fold_ic,ci95_low,ci95_high
jo.base,base,oos,blend,27,0.0377531508435,0.0459423252216,-0.142944618425,0.0859997805256,0.0421108282096,0.0218688548151,0.0536374468718
jo.base,base,oos,h6,27,0.0363798362706,0.0387183563639,-0.104365771094,0.072629209188,0.0322554264791,0.024213019219,0.0485466533221
jo.base,base,oos,h9,27,0.026792057937,0.0360613578588,-0.106509337933,0.0825140490922,0.0389130544921,0.0121139691128,0.0414701467612
jo.base,base,train,blend,27,0.252189036665,0.274228002459,-0.0858387911743,0.37459507356,0.099740596457,0.214566666658,0.289811406671
jo.base,base,train,h6,27,0.228444568867,0.233376843375,0.043741889488,0.316821055695,0.0530895871583,0.208419061075,0.248470076659
jo.base,base,train,h9,27,0.215847920541,0.250775366096,-0.262229319497,0.387127084067,0.158982860384,0.155879239678,0.275816601404
jo.select,select,oos,blend,27,0.033225740302,0.0411638907879,-0.107065739984,0.0752586684635,0.0364109364372,0.0194914558524,0.0469600247516
jo.select,select,oos,h6,27,0.0293342831812,0.0322207851913,-0.0553885722308,0.0637626682218,0.0250241827582,0.0198951069955,0.038773459367
jo.select,select,oos,h9,27,0.0258696409518,0.0324034021974,-0.103364275157,0.0705199496547,0.0347076895226,0.0127778249444,0.0389614569592
jo.select,select,train,blend,27,0.194084127432,0.220538783495,-0.190108123909,0.344700893209,0.109420958243,0.152810303897,0.235357950966
jo.select,select,train,h6,27,0.183471275185,0.201918189343,-0.164781599986,0.315650543283,0.0866700828032,0.150779131368,0.216163419001
jo.select,select,train,h9,27,0.161342240787,0.209507583623,-0.124754265562,0.30666775639,0.121097621598,0.115663954428,0.207020527147
jo.select2,select2,oos,blend,27,0.0266554742523,0.0339886334132,-0.0724873816178,0.0869055354683,0.0367075637399,0.0128093013388,0.0405016471659
jo.select2,select2,oos,h6,27,0.0264271408129,0.0377107481121,-0.0903769891481,0.0680989104929,0.0357238978443,0.0129520088155,0.0399022728104
jo.select2,select2,oos,h9,27,0.0173781364758,0.0181207902469,-0.0573367660408,0.0751899939656,0.0288057396694,0.00651254879493,0.0282437241567
jo.select2,select2,train,blend,27,0.221313655587,0.241068450547,-0.157557481764,0.402045383237,0.127587048214,0.173187543387,0.269439767786
jo.select2,select2,train,h6,27,0.197508403113,0.204811369158,-0.0578260997737,0.386916331713,0.0884288997044,0.164152829735,0.230863976492
jo.select2,select2,train,h9,27,0.19623855012,0.224890147372,-0.206173946734,0.400463478765,0.14191834598,0.14270664122,0.24977045902
