run,run_label,split,fold,metric,n_rows,n_valid_pairs,n_valid_dates,mean_ic,median_ic,min_ic,max_ic
jo.base,base,train,0,blend,80947,79849,1309,0.322621747261,0.338274785258,-0.285053158505,0.730715330994
jo.base,base,train,0,h6,80947,80215,1315,0.242663165324,0.242993125331,-0.279957694342,0.646377578001
jo.base,base,train,0,h9,80947,79849,1309,0.368884212499,0.394711792702,-0.227498677948,0.766737176097
jo.base,base,train,1,blend,80947,79849,1309,0.244803100463,0.270760611159,-0.29699710735,0.642444438382
jo.base,base,train,1,h6,80947,80215,1315,0.185047335459,0.194928475173,-0.337978265011,0.665494312602
jo.base,base,train,1,h9,80947,79849,1309,0.233704200414,0.259703860391,-0.299071846936,0.611853673423
jo.base,base,train,2,blend,82274,81158,1309,0.280882213341,0.296165712918,-0.194827109559,0.688786755808
jo.base,base,train,2,h6,82274,81530,1315,0.185049469925,0.184407343054,-0.258089698069,0.619853441112
jo.base,base,train,2,h9,82274,81158,1309,0.284493688759,0.314976896009,-0.329177689189,0.666011911982
jo.base,base,train,3,blend,88226,87110,1405,0.278137940254,0.295290858819,-0.244468791315,0.668135803414
jo.base,base,train,3,h6,88226,87482,1411,0.239801142587,0.251660397837,-0.240345509432,0.642454108571
jo.base,base,train,3,h9,88226,87110,1405,0.242294883452,0.260409715335,-0.274457958752,0.646949208028
jo.base,base,train,4,blend,89649,88515,1405,0.193736134127,0.200607320783,-0.300994997642,0.649752165613
jo.base,base,train,4,h6,89649,88893,1411,0.189457844677,0.196502934237,-0.379320276498,0.671115004789
jo.base,base,train,4,h9,89649,88515,1405,0.174288051232,0.180443548387,-0.231614823349,0.551987327189
jo.base,base,train,5,blend,85380,84300,1405,0.271327194353,0.280461882937,-0.36962926821,0.71663772316
jo.base,base,train,5,h6,85380,84660,1411,0.316821055695,0.334870797444,-0.321644901361,0.764156710197
jo.base,base,train,5,h9,85380,84300,1405,0.16297418187,0.167824395665,-0.33475965546,0.630786329536
jo.base,base,train,6,blend,88226,87110,1405,0.298464767106,0.314963611159,-0.341216475373,0.676665415105
jo.base,base,train,6,h6,88226,87482,1411,0.229511061638,0.235728135781,-0.386114678553,0.623328548765
jo.base,base,train,6,h9,88226,87110,1405,0.311729211946,0.338218629599,-0.331570597567,0.685074664451
jo.base,base,train,7,blend,89649,88515,1405,-0.0858387911743,-0.0839944798078,-0.503000336617,0.394195458911
jo.base,base,train,7,h6,89649,88893,1411,0.043741889488,0.0493951612903,-0.411818356375,0.434715821813
jo.base,base,train,7,h9,89649,88515,1405,-0.24058832292,-0.251872119816,-0.648137480799,0.298099078341
jo.base,base,train,8,blend,88226,87110,1405,0.106958825234,0.109860219673,-0.265006233448,0.514480710645
jo.base,base,train,8,h6,88226,87482,1411,0.193506913274,0.20163178968,-0.360680919644,0.719002408511
jo.base,base,train,8,h9,88226,87110,1405,0.081313108615,0.0806577522601,-0.305532472111,0.480401908853
jo.base,base,train,9,blend,86803,85705,1405,0.269071500605,0.280391381533,-0.264768100217,0.692051405061
jo.base,base,train,9,h6,86803,86071,1411,0.268733127677,0.28260179799,-0.27868852459,0.72326811211
jo.base,base,train,9,h9,86803,85705,1405,0.250775366096,0.26113630839,-0.26679005817,0.69201480698
